node_num,score,test_option,ref_data
1,Dhrystone 2 using register variables,BASELINE,116700.0
1,Dhrystone 2 using register variables,RESULT,8500210.0
1,Dhrystone 2 using register variables,INDEX,728.4
1,Double-Precision Whetstone,BASELINE,55.0
1,Double-Precision Whetstone,RESULT,1063.4
1,Double-Precision Whetstone,INDEX,193.3
1,Execl Throughput,BASELINE,43.0
1,Execl Throughput,RESULT,1602.9
1,Execl Throughput,INDEX,372.8
1,File Copy 1024 bufsize 2000 maxblocks,BASELINE,3960.0
1,File Copy 1024 bufsize 2000 maxblocks,RESULT,239250.5
1,File Copy 1024 bufsize 2000 maxblocks,INDEX,604.2
1,File Copy 256 bufsize 500 maxblocks,BASELINE,1655.0
1,File Copy 256 bufsize 500 maxblocks,RESULT,62532.0
1,File Copy 256 bufsize 500 maxblocks,INDEX,377.8
1,File Copy 4096 bufsize 8000 maxblocks,BASELINE,5800.0
1,File Copy 4096 bufsize 8000 maxblocks,RESULT,734535.8
1,File Copy 4096 bufsize 8000 maxblocks,INDEX,1266.4
1,Pipe Throughput,BASELINE,12440.0
1,Pipe Throughput,RESULT,467608.4
1,Pipe Throughput,INDEX,375.9
1,Pipe-based Context Switching,BASELINE,4000.0
1,Pipe-based Context Switching,RESULT,137864.6
1,Pipe-based Context Switching,INDEX,344.7
1,Process Creation,BASELINE,126.0
1,Process Creation,RESULT,4163.9
1,Process Creation,INDEX,330.5
1,Shell Scripts (1 concurrent),BASELINE,42.4
1,Shell Scripts (1 concurrent),RESULT,2751.3
1,Shell Scripts (1 concurrent),INDEX,648.9
1,Shell Scripts (8 concurrent),BASELINE,6.0
1,Shell Scripts (8 concurrent),RESULT,885.3
1,Shell Scripts (8 concurrent),INDEX,1475.5
1,System Call Overhead,BASELINE,15000.0
1,System Call Overhead,RESULT,547856.8
1,System Call Overhead,INDEX,365.2
1,System Benchmarks Index Score,Score,497.0
2,Dhrystone 2 using register variables,BASELINE,116700.0
2,Dhrystone 2 using register variables,RESULT,8502919.6
2,Dhrystone 2 using register variables,INDEX,728.6
2,Double-Precision Whetstone,BASELINE,55.0
2,Double-Precision Whetstone,RESULT,1067.3
